Xfoil polar. Reynolds number fixed. Mach  number fixed		
Polar key	xf-clarky-il-50000	
Airfoil	clarky-il	
Reynolds number	50000	
Ncrit	9	
Mach	0	
Max Cl/Cd	29.6168	
Max Cl/Cd alpha	9.25	
Url	http://airfoiltools.com/polar/csv?polar=xf-clarky-il-50000	
		
Alpha	Cl	Cd
-8.500	-0.3410	0.10621
-8.250	-0.3291	0.10240
-8.000	-0.3587	0.10280
-7.750	-0.3342	0.09804
-7.500	-0.3487	0.09645
-7.250	-0.3539	0.09474
-7.000	-0.3507	0.09182
-6.750	-0.3882	0.09242
-6.500	-0.3717	0.08866
-6.250	-0.4070	0.08840
-6.000	-0.4206	0.08715
-5.750	-0.4114	0.08412
-5.500	-0.4177	0.08215
-5.250	-0.4281	0.08049
-5.000	-0.4512	0.07946
-4.750	-0.4331	0.07637
-4.500	-0.4314	0.05863
-4.250	-0.4061	0.05169
-4.000	-0.3795	0.04648
-3.750	-0.3552	0.04308
-3.500	-0.3276	0.03982
-3.250	-0.3046	0.03807
-3.000	-0.2805	0.03649
-2.750	-0.2551	0.03494
-2.500	-0.2291	0.03365
-2.250	-0.2061	0.03262
-2.000	-0.1821	0.03190
-1.750	-0.1587	0.03128
-1.500	-0.1351	0.03065
-1.250	-0.1094	0.03013
-1.000	-0.0812	0.02923
-750	-0.0716	0.02623
-500	-0.0468	0.02692
-250	-0.0042	0.02806
0	0.0506	0.02938
250	0.1051	0.03060
500	0.1570	0.03168
750	0.1995	0.03254
1.000	0.2387	0.03332
1.250	0.2766	0.03407
1.500	0.3130	0.03477
1.750	0.3483	0.03541
2.000	0.3833	0.03603
2.250	0.4186	0.03658
2.500	0.4544	0.03706
2.750	0.4906	0.03746
3.000	0.5275	0.03775
3.250	0.5643	0.03796
3.500	0.6003	0.03811
3.750	0.6355	0.03821
4.000	0.6685	0.03834
4.250	0.6981	0.03860
4.500	0.7256	0.03897
4.750	0.7506	0.03952
5.000	0.7734	0.04025
5.250	0.7952	0.04107
5.500	0.8193	0.04177
5.750	0.8676	0.04061
6.000	0.8800	0.04212
6.250	0.8907	0.04383
6.500	0.9033	0.04541
6.750	0.9267	0.04608
7.000	0.9915	0.04315
7.250	1.0017	0.04470
7.500	1.0164	0.04584
7.750	1.0478	0.04535
8.000	1.1029	0.04267
8.250	1.1433	0.04141
8.500	1.1591	0.04217
8.750	1.1777	0.04275
9.000	1.2049	0.04271
9.250	1.2442	0.04201
9.500	1.2528	0.04349
9.750	1.2746	0.04420
10.000	1.3042	0.04488
10.250	1.3144	0.04680
10.500	1.3280	0.04857
10.750	1.3409	0.05037
11.000	1.3177	0.05428
11.250	1.3370	0.05612
11.500	1.2972	0.06109
11.750	1.2377	0.06803
12.000	1.1120	0.08579
12.250	1.3618	0.06228
12.500	1.3213	0.06787
12.750	1.3277	0.06776
13.000	1.3716	0.06211
13.250	1.3285	0.06839
13.500	1.2920	0.07486
13.750	1.2584	0.08181
14.500	1.2881	0.08254
14.750	1.2556	0.08980
15.000	0.8641	0.18509
