Xfoil polar. Reynolds number fixed. Mach  number fixed		
Polar key	xf-naca4412-il-50000	
Airfoil	naca4412-il	
Reynolds number	50000	
Ncrit	9	
Mach	0	
Max Cl/Cd	33.445	
Max Cl/Cd alpha	9.75	
Url	http://airfoiltools.com/polar/csv?polar=xf-naca4412-il-50000	
		
Alpha	Cl	Cd
-9.250	-0.3484	0.11519
-9.000	-0.3263	0.10991
-8.750	-0.3430	0.10940
-8.500	-0.3340	0.10549
-8.250	-0.3380	0.10368
-8.000	-0.3862	0.10566
-7.750	-0.3424	0.09889
-7.500	-0.3860	0.10017
-7.250	-0.3576	0.09514
-7.000	-0.3988	0.09590
-6.750	-0.3812	0.09202
-6.500	-0.4296	0.09289
-6.250	-0.4111	0.08914
-6.000	-0.4133	0.08662
-5.750	-0.4339	0.08523
-5.500	-0.4490	0.08389
-5.250	-0.4372	0.08080
-5.000	-0.4394	0.07850
-4.750	-0.4076	0.05599
-4.500	-0.3867	0.05206
-4.250	-0.3630	0.04815
-4.000	-0.3354	0.04419
-3.750	-0.3092	0.04146
-3.500	-0.2800	0.03898
-3.250	-0.2589	0.03764
-3.000	-0.2321	0.03627
-2.750	-0.2112	0.03545
-2.500	-0.1884	0.03470
-2.250	-0.1656	0.03410
-2.000	-0.1432	0.03369
-1.750	-0.1176	0.03335
-1.500	-0.0654	0.03317
-1.250	-0.0158	0.03295
-1.000	0.0297	0.03258
-750	0.0671	0.03154
-500	0.1031	0.03143
-250	0.1469	0.03237
0	0.1804	0.03318
250	0.2127	0.03403
500	0.2476	0.03490
750	0.2900	0.03575
1.000	0.3166	0.03657
1.250	0.3420	0.03746
1.500	0.3718	0.03836
1.750	0.4130	0.03909
2.000	0.4299	0.04014
2.250	0.4529	0.04117
2.500	0.4924	0.04188
2.750	0.5095	0.04305
3.000	0.5279	0.04426
3.250	0.5662	0.04496
3.500	0.5815	0.04627
3.750	0.5962	0.04773
4.000	0.6350	0.04832
4.250	0.6464	0.04992
4.500	0.6592	0.05153
4.750	0.6949	0.05221
5.000	0.7094	0.05375
5.250	0.7169	0.05575
5.500	0.7421	0.05688
5.750	0.7723	0.05768
6.000	0.7737	0.06012
6.250	0.7860	0.06203
6.500	0.8168	0.06274
6.750	0.8415	0.06375
7.000	0.8430	0.06634
7.250	0.8513	0.06850
7.500	0.8671	0.07004
7.750	0.8865	0.07116
8.000	0.9081	0.07193
8.250	0.9309	0.07238
8.500	0.9547	0.07259
8.750	0.9857	0.07176
9.000	1.2725	0.04155
9.250	1.2985	0.04001
9.500	1.3102	0.03953
9.750	1.3184	0.03942
10.000	1.3248	0.03991
10.250	1.3265	0.04130
10.500	1.3283	0.04312
10.750	1.3401	0.04512
11.000	1.3527	0.04742
11.250	1.3686	0.04976
11.500	1.3924	0.05231
11.750	1.3929	0.05510
12.000	1.4092	0.05796
12.250	1.3997	0.06112
12.500	1.4298	0.06425
12.750	1.4065	0.06782
13.000	1.3810	0.07194
13.250	1.3520	0.07677
13.500	1.3181	0.08256
13.750	1.2801	0.08958
14.000	1.2403	0.09792
