Xfoil polar. Reynolds number fixed. Mach  number fixed		
Polar key	xf-s814-nr-50000	
Airfoil	s814-nr	
Reynolds number	50000	
Ncrit	9	
Mach	0	
Max Cl/Cd	4.4305	
Max Cl/Cd alpha	14.25	
Url	http://airfoiltools.com/polar/csv?polar=xf-s814-nr-50000	
		
Alpha	Cl	Cd
-16.250	-0.3773	0.18367
-16.000	-0.3773	0.18357
-15.750	-0.3822	0.18386
-15.500	-0.3617	0.17855
-15.250	-0.3482	0.17569
-15.000	-0.3390	0.17375
-14.750	-0.3385	0.17359
-14.500	-0.3476	0.17495
-14.250	-0.3265	0.16956
-14.000	-0.3117	0.16647
-13.750	-0.3005	0.16433
-13.500	-0.2939	0.16300
-13.250	-0.3057	0.16533
-13.000	-0.2979	0.16267
-12.750	-0.2791	0.15848
-12.500	-0.2648	0.15578
-12.250	-0.2541	0.15388
-12.000	-0.2484	0.15275
-11.750	-0.2617	0.15506
-11.500	-0.2545	0.15268
-11.250	-0.2357	0.14873
-11.000	-0.2211	0.14610
-10.750	-0.2102	0.14426
-10.500	-0.2040	0.14310
-10.250	-0.2138	0.14451
-10.000	-0.2159	0.14391
-9.750	-0.1968	0.14003
-9.500	-0.1827	0.13753
-9.250	-0.1725	0.13582
-9.000	-0.1664	0.13469
-8.750	-0.1727	0.13530
-8.500	-0.1863	0.13643
-8.250	-0.1684	0.13286
-8.000	-0.1569	0.13079
-7.750	-0.1504	0.12954
-7.500	-0.1491	0.12893
-7.250	-0.1562	0.12931
-6.750	-0.1839	0.13083
-6.500	-0.1809	0.12968
-6.250	-0.1833	0.12953
-6.000	-0.1901	0.12998
-5.750	-0.1790	0.12952
-5.500	-0.1748	0.13086
-5.250	-0.1193	0.12554
-5.000	-0.0748	0.12212
-4.750	-0.0388	0.11980
-4.500	-0.0429	0.12193
-4.250	0.0011	0.11721
-4.000	0.0388	0.11404
-3.750	0.0693	0.11194
-3.500	0.0834	0.11167
-3.250	0.0867	0.11130
-3.000	0.1274	0.10780
-2.750	0.1606	0.10553
-2.500	0.1576	0.10632
-2.250	0.1781	0.10485
-2.000	0.1901	0.10382
-1.750	0.2256	0.10164
-1.500	0.2004	0.10397
-1.250	0.2125	0.10328
-1.000	0.2075	0.10354
-750	0.2290	0.10244
-500	0.2155	0.10399
-250	0.1515	0.10875
0	0.1962	0.10556
250	0.1969	0.10595
500	0.1611	0.10869
750	0.1049	0.11240
1.000	0.1202	0.11137
1.250	0.1220	0.11168
1.500	0.0817	0.11431
1.750	-0.0557	0.12155
2.000	-0.0397	0.12085
2.250	0.0094	0.11914
2.500	-0.1487	0.12280
2.750	-0.1803	0.12406
3.000	-0.1512	0.12268
3.250	-0.1317	0.12186
3.500	-0.1488	0.12254
3.750	-0.1300	0.12118
4.000	-0.1407	0.12225
4.250	-0.1241	0.12054
4.750	-0.1132	0.11997
5.000	-0.1047	0.12097
5.250	-0.0975	0.11964
5.500	-0.0836	0.12011
5.750	-0.0874	0.11929
6.000	-0.0788	0.11949
6.250	-0.0608	0.11947
6.500	-0.0542	0.11924
6.750	-0.0076	0.12061
7.000	-0.0021	0.11984
7.250	0.0234	0.12062
7.500	0.0774	0.12215
7.750	0.0992	0.12214
8.000	0.1248	0.12301
8.250	0.1709	0.12455
8.500	0.2312	0.12714
8.750	0.2644	0.12804
9.000	0.2931	0.12923
9.250	0.3161	0.13060
9.500	0.3336	0.13195
9.750	0.3303	0.13281
10.000	0.2063	0.12365
10.250	0.2277	0.12524
10.500	0.2522	0.12739
10.750	0.2855	0.13033
11.000	0.3248	0.13367
11.250	0.3554	0.13633
11.500	0.3698	0.13790
11.750	0.3832	0.13985
12.000	0.4036	0.14241
12.250	0.4237	0.14523
12.500	0.4506	0.14836
12.750	0.4641	0.15109
13.000	0.5724	0.14328
13.250	0.5911	0.14549
13.500	0.6075	0.14689
13.750	0.6286	0.14869
14.000	0.6509	0.15075
14.250	0.6776	0.15294
14.500	0.6601	0.15928
14.750	0.6759	0.16129
15.000	0.7010	0.16300
15.250	0.6899	0.16973
15.500	0.7141	0.17182
15.750	0.7075	0.17798
16.000	0.7072	0.18364
16.250	0.7174	0.18954
